Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1.0,526301100.0,20.0,Rl,141.0,31770.0,Pave,Nan,Ir1,Lvl,Allpub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,6.0,5.0,1960.0,1960.0,Hip,Compshg,Brkface,Plywood,Stone,112.0,Ta,Ta,Cblock,Ta,Gd,Gd,Blq,639.0,Unf,0.0,441.0,1080.0,Gasa,Fa,Yes,Sbrkr,1656.0,0.0,0.0,1656.0,1.0,0.0,1.0,0.0,3.0,1.0,Ta,7.0,Typ,2.0,Gd,Attchd,1960.0,Fin,2.0,528.0,Ta,Ta,P,210.0,62.0,0.0,0.0,0.0,0.0,Nan,Nan,Nan,0.0,5.0,2010.0,Wd,Normal,215000.0
2.0,526350040.0,20.0,Rh,80.0,11622.0,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Names,Feedr,Norm,1Fam,1Story,5.0,6.0,1961.0,1961.0,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Ta,Ta,Cblock,Ta,Ta,No,Rec,468.0,Lwq,144.0,270.0,882.0,Gasa,Ta,Yes,Sbrkr,896.0,0.0,0.0,896.0,0.0,0.0,1.0,0.0,2.0,1.0,Ta,5.0,Typ,0.0,Nan,Attchd,1961.0,Unf,1.0,730.0,Ta,Ta,Yes,140.0,0.0,0.0,0.0,120.0,0.0,Nan,Mnprv,Nan,0.0,6.0,2010.0,Wd,Normal,105000.0
3.0,526351010.0,20.0,Rl,81.0,14267.0,Pave,Nan,Ir1,Lvl,Allpub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,6.0,6.0,1958.0,1958.0,Hip,Compshg,Wd Sdng,Wd Sdng,Brkface,108.0,Ta,Ta,Cblock,Ta,Ta,No,Alq,923.0,Unf,0.0,406.0,1329.0,Gasa,Ta,Yes,Sbrkr,1329.0,0.0,0.0,1329.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,Nan,Attchd,1958.0,Unf,1.0,312.0,Ta,Ta,Yes,393.0,36.0,0.0,0.0,0.0,0.0,Nan,Nan,Gar2,12500.0,6.0,2010.0,Wd,Normal,172000.0
4.0,526353030.0,20.0,Rl,93.0,11160.0,Pave,Nan,Reg,Lvl,Allpub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,7.0,5.0,1968.0,1968.0,Hip,Compshg,Brkface,Brkface,Nan,0.0,Gd,Ta,Cblock,Ta,Ta,No,Alq,1065.0,Unf,0.0,1045.0,2110.0,Gasa,Ex,Yes,Sbrkr,2110.0,0.0,0.0,2110.0,1.0,0.0,2.0,1.0,3.0,1.0,Ex,8.0,Typ,2.0,Ta,Attchd,1968.0,Fin,2.0,522.0,Ta,Ta,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Nan,Nan,0.0,4.0,2010.0,Wd,Normal,244000.0
5.0,527105010.0,60.0,Rl,74.0,13830.0,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5.0,5.0,1997.0,1998.0,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Ta,Ta,Pconc,Gd,Ta,No,Glq,791.0,Unf,0.0,137.0,928.0,Gasa,Gd,Yes,Sbrkr,928.0,701.0,0.0,1629.0,0.0,0.0,2.0,1.0,3.0,1.0,Ta,6.0,Typ,1.0,Ta,Attchd,1997.0,Fin,2.0,482.0,Ta,Ta,Yes,212.0,34.0,0.0,0.0,0.0,0.0,Nan,Mnprv,Nan,0.0,3.0,2010.0,Wd,Normal,189900.0
6.0,527105030.0,60.0,Rl,78.0,9978.0,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6.0,6.0,1998.0,1998.0,Gable,Compshg,Vinylsd,Vinylsd,Brkface,20.0,Ta,Ta,Pconc,Ta,Ta,No,Glq,602.0,Unf,0.0,324.0,926.0,Gasa,Ex,Yes,Sbrkr,926.0,678.0,0.0,1604.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1998.0,Fin,2.0,470.0,Ta,Ta,Yes,360.0,36.0,0.0,0.0,0.0,0.0,Nan,Nan,Nan,0.0,6.0,2010.0,Wd,Normal,195500.0
7.0,527127150.0,120.0,Rl,41.0,4920.0,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Stonebr,Norm,Norm,Twnhse,1Story,8.0,5.0,2001.0,2001.0,Gable,Compshg,Cemntbd,Cmentbd,Nan,0.0,Gd,Ta,Pconc,Gd,Ta,Mn,Glq,616.0,Unf,0.0,722.0,1338.0,Gasa,Ex,Yes,Sbrkr,1338.0,0.0,0.0,1338.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,6.0,Typ,0.0,Nan,Attchd,2001.0,Fin,2.0,582.0,Ta,Ta,Yes,0.0,0.0,170.0,0.0,0.0,0.0,Nan,Nan,Nan,0.0,4.0,2010.0,Wd,Normal,213500.0
8.0,527145080.0,120.0,Rl,43.0,5005.0,Pave,Nan,Ir1,Hls,Allpub,Inside,Gtl,Stonebr,Norm,Norm,Twnhse,1Story,8.0,5.0,1992.0,1992.0,Gable,Compshg,Hdboard,Hdboard,Nan,0.0,Gd,Ta,Pconc,Gd,Ta,No,Alq,263.0,Unf,0.0,1017.0,1280.0,Gasa,Ex,Yes,Sbrkr,1280.0,0.0,0.0,1280.0,0.0,0.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,0.0,Nan,Attchd,1992.0,Rfn,2.0,506.0,Ta,Ta,Yes,0.0,82.0,0.0,0.0,144.0,0.0,Nan,Nan,Nan,0.0,1.0,2010.0,Wd,Normal,191500.0
9.0,527146030.0,120.0,Rl,39.0,5389.0,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Stonebr,Norm,Norm,Twnhse,1Story,8.0,5.0,1995.0,1996.0,Gable,Compshg,Cemntbd,Cmentbd,Nan,0.0,Gd,Ta,Pconc,Gd,Ta,No,Glq,1180.0,Unf,0.0,415.0,1595.0,Gasa,Ex,Yes,Sbrkr,1616.0,0.0,0.0,1616.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,1.0,Ta,Attchd,1995.0,Rfn,2.0,608.0,Ta,Ta,Yes,237.0,152.0,0.0,0.0,0.0,0.0,Nan,Nan,Nan,0.0,3.0,2010.0,Wd,Normal,236500.0
10.0,527162130.0,60.0,Rl,60.0,7500.0,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7.0,5.0,1999.0,1999.0,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Ta,Ta,Pconc,Ta,Ta,No,Unf,0.0,Unf,0.0,994.0,994.0,Gasa,Gd,Yes,Sbrkr,1028.0,776.0,0.0,1804.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,Ta,Attchd,1999.0,Fin,2.0,442.0,Ta,Ta,Yes,140.0,60.0,0.0,0.0,0.0,0.0,Nan,Nan,Nan,0.0,6.0,2010.0,Wd,Normal,189000.0
