"License Number","Business Name","DBA/Trade Name","Business Unique ID","Business Category","License Type","License Status","Initial Issuance Date","Expiration Date","Details","Contact Phone","Address Type","Building Number","Street1","Street2","Street3","Unit Type","Apt/Suite","City","State","ZIP Code","Borough","Community Board","Council District","BIN","BBL","NTA","Census Block (2010)","Census Tract (2010)","Latitude","Longitude"
"2123226-DCWP","Denis Spedalieri",,"BA-1703334-2024","Sightseeing Guide","Individual","Active","08/01/2024","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11215",,,,,,,,,,
"2108901-DCA","SMC PROFESSIONAL CONSTRUCTION INC",,"BA-1557348-2022","Home Improvement Contractor","Premises","Active","09/19/2022","02/28/2027",,,"Complete Address","1025","MAIN ST",,,,,"NIAGARA FALLS","NY","14301","Outside NYC",,,,,,,,,
"2104594-DCA","Jcads Inc",,"BA-1326457-2022","Home Improvement Contractor","Premises","Active","03/21/2022","02/28/2027",,"9178866971","Complete Address","2135","EDENWALD AVE",,,,,"BRONX","NY","10466","Bronx","212","12","2069456","2050280025","BX62","1005","448","40.89405","-73.838531"
"2122058-DCWP","CTRL VINTAGE LLC",,"BA-1698529-2024","Secondhand Dealer - General","Premises","Active","06/07/2024","07/31/2027",,"5187034031","Complete Address","103","STUYVESANT AVE",,,,,"BROOKLYN","NY","11221","Brooklyn","303","36","3043437","3016070001","BK35","2000","289","40.69200","-73.933844"
"2071051-DCA","MAESTRO BUILDERS CORPORATION",,"BA-1451017-2022","Home Improvement Contractor","Premises","Active","05/11/2018","02/28/2027",,"646-727-5375","Complete Address","4824","46TH ST",,,,,"WOODSIDE","NY","11377","Queens","402","26","4053029","4022890042","QN31","3000","18501","40.73901","-73.919540"
"2089275-DCA","SANJAY'S VARIETY STORE INC.",,"BA-1500311-2022","Secondhand Dealer - General","Premises","Expired","08/07/2019","07/31/2023",,"347-879-9955","Complete Address","19005","JAMAICA AVE",,,,,"HOLLIS","NY","11423","Queens","412","23","4222128","4104460036","QN07","1007","482","40.71209","-73.769333"
"2123284-DCWP","Gayla Hibner",,"BA-1698945-2024","Sightseeing Guide","Individual","Active","08/05/2024","03/31/2026",,,,,,,,,,"NEW YORK","NY","10012",,,,,,,,,,
"2080184-DCA","FAMILY CARE REFERRAL, LLC",,"BA-1269913-2022","Employment Agency","Premises","Active","11/27/2018","05/01/2026",,"2129616993","Complete Address","1180","AVENUE OF THE AMERICAS",,,"FL","8","NEW YORK","NY","10036","Manhattan","105","4","1034313","1012620001","MN17","1003","96","40.75748","-73.982176"
"2123026-DCWP","Donna Hill",,"BA-1696202-2024","Sightseeing Guide","Individual","Active","07/24/2024","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11212",,,,,,,,,,
"2083860-DCA","DIRA ASSOCIATES, INC.","ARID BASEMENT WATERPROOFING","BA-1720809-2025","Home Improvement Contractor","Premises","Active","03/29/2019","02/28/2027",,"2019343400","Complete Address","315","SHEA DR",,,,,"NEW MILFORD","NJ","07646","Outside NYC",,,,,,,,,
